"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID","Density"
11.769,"A",0.956,0,26.19,2000,1,14,"2000/1",662.4105664,6040.92868,"20000114.t4",0
12.271,"A",0.956,0,25.71,2000,1,14,"2000/1",662.4220935,6040.427566,"20000114.t4",0
12.771,"A",0.956,0,25.64,2000,1,14,"2000/1",662.4156371,6039.926963,"20000114.t4",0
13.271,"A",0.956,0,25.09,2000,1,14,"2000/1",662.4019973,6039.426933,"20000114.t4",0
13.771,"A",0.956,0,25.23,2000,1,14,"2000/1",662.4215182,6038.926885,"20000114.t4",0
15.003,"A",0.956,0,24.8,2000,1,14,"2000/1",663.9490864,6037.778537,"20000114.t5",0
14.515,"A",0.956,0,24.76,2000,1,14,"2000/1",664.0141748,6038.276619,"20000114.t5",0
14.009,"A",0.956,0,24.92,2000,1,14,"2000/1",663.9543052,6038.778182,"20000114.t5",0
13.526,"A",0.956,0,25.31,2000,1,14,"2000/1",664.0495788,6039.276658,"20000114.t5",0
13.02,"A",0.956,0,25.2,2000,1,14,"2000/1",663.9723301,6039.77666,"20000114.t5",0
12.525,"A",0.956,0,25.59,2000,1,14,"2000/1",663.9811927,6040.276917,"20000114.t5",0
12.03,"A",0.956,0,25.65,2000,1,14,"2000/1",663.9877571,6040.777049,"20000114.t5",0
11.54,"A",0.956,0,25.74,2000,1,14,"2000/1",664.0184114,6041.27635,"20000114.t5",0
11.055,"A",0.956,0,25.82,2000,1,14,"2000/1",664.0857858,6041.776253,"20000114.t5",0
10.556,"A",0.956,0,25.33,2000,1,14,"2000/1",664.0833193,6042.281457,"20000114.t5",0
10.05,"A",0.956,0,24.8,2000,1,14,"2000/1",663.9105624,6042.766203,"20000114.t5",0
9.544,"A",0.956,0,22.48,2000,1,14,"2000/1",663.8438795,6043.267794,"20000114.t5",0
9.056,"A",0.956,0,21.29,2000,1,14,"2000/1",663.8948688,6043.771224,"20000114.t5",0
8.58,"A",0.956,0,20.15,2000,1,14,"2000/1",663.9680621,6044.267534,"20000114.t5",0
8.108,"A",0.956,0,18.19,2000,1,14,"2000/1",664.0459317,6044.763072,"20000114.t5",0
7.617,"A",0.956,0,16.31,2000,1,14,"2000/1",664.0473693,6045.264176,"20000114.t5",0
7.128,"A",0.956,0,14.26,2000,1,14,"2000/1",664.0537097,6045.764296,"20000114.t5",0
6.651,"A",0.956,0,12.83,2000,1,14,"2000/1",664.109518,6046.264077,"20000114.t5",0
6.148,"A",0.956,0,11.55,2000,1,14,"2000/1",664.041972,6046.763576,"20000114.t5",0
5.653,"A",0.956,0,10.05,2000,1,14,"2000/1",664.0161066,6047.263179,"20000114.t5",0
5.165,"A",0.956,0,8.08,2000,1,14,"2000/1",664.0199046,6047.763329,"20000114.t5",0
4.68,"A",0.956,15,6.93,2000,1,14,"2000/1",664.0248152,6048.263334,"20000114.t5",15.6903765690377
4.2,"A",0.956,0,6.47,2000,1,14,"2000/1",664.0405343,6048.763922,"20000114.t5",0
3.706,"A",0.956,35,6.26,2000,1,14,"2000/1",663.9894752,6049.262601,"20000114.t5",36.6108786610879
3.215,"A",0.956,6,5.97,2000,1,14,"2000/1",663.9562885,6049.761625,"20000114.t5",6.27615062761506
2.728,"A",0.956,53,5.98,2000,1,14,"2000/1",663.9273852,6050.261368,"20000114.t5",55.4393305439331
2.263,"A",0.956,0,5.66,2000,1,14,"2000/1",663.9479519,6050.761733,"20000114.t5",0
1.81,"A",0.956,8,5.44,2000,1,14,"2000/1",663.9560866,6051.261719,"20000114.t5",8.36820083682008
1.369,"A",0.956,0,4.78,2000,1,14,"2000/1",663.9573483,6051.76176,"20000114.t5",0
0.983,"A",0.956,0,3.73,2000,1,14,"2000/1",663.9547638,6052.261933,"20000114.t5",0
0.66,"A",0.956,0,0.71,2000,1,14,"2000/1",663.8969193,6052.761032,"20000114.t5",0
0.565,"A",0.956,0,0.56,2000,1,14,"2000/1",663.9068665,6053.261833,"20000114.t5",0
0.808,"A",0.956,0,0.78,2000,1,14,"2000/1",663.9224361,6053.762505,"20000114.t5",0
1.234,"A",0.956,0,1.05,2000,1,14,"2000/1",663.9893674,6054.259239,"20000114.t5",0
1.695,"A",0.956,0,1.31,2000,1,14,"2000/1",664.0475119,6054.755977,"20000114.t5",0
1.926,"A",0.956,0,1.18,2000,1,14,"2000/1",664.1232204,6055.251735,"20000114.t5",0
1.838,"A",0.956,0,1.39,2000,1,14,"2000/1",664.1443791,6055.752503,"20000114.t5",0
1.505,"A",0.956,0,1.42,2000,1,14,"2000/1",664.070466,6056.255764,"20000114.t5",0
1.048,"A",0.956,0,1.38,2000,1,14,"2000/1",664.1506352,6056.752901,"20000114.t5",0
0.625,"A",0.956,0,1.08,2000,1,14,"2000/1",664.2085074,6057.249857,"20000114.t5",0
0.218,"A",0.956,0,0.62,2000,1,14,"2000/1",664.3588901,6057.736356,"20000114.t5",0
0.112,"A",0.270588152,0,0.71,2000,1,14,"2000/1",666.1865144,6059.82716,"20000114.t6",0
0.172,"A",0.956,0,0.85,2000,1,14,"2000/1",666.2374309,6059.507362,"20000114.t6",0
0.185,"A",0.956,0,0.89,2000,1,14,"2000/1",666.2240273,6059.00606,"20000114.t6",0
0.67,"A",0.956,0,2.16,2000,1,14,"2000/1",666.1740567,6058.507433,"20000114.t6",0
1.159,"A",0.956,0,2.03,2000,1,14,"2000/1",666.1791709,6058.005318,"20000114.t6",0
1.66,"A",0.956,0,1.35,2000,1,14,"2000/1",666.1037605,6057.509549,"20000114.t6",0
