Year,Month,Day,Locationorig,Location,Sex,FinalML,WL,EL,LRL beak,Capture
1975,October,28,Bonavista. Bonavista Bay. Canada. Newfoundland. ,North Atlantic,Male,1.32,3.29,,,Stranded
1976,January,26,Off Joban district 36 39N 141 51 E,North Pacific,NK,NA,NA,NA,,In whale
1976,January,26,Off Joban district 36 40N 141 53 E,North Pacific,NK,NA,NA,NA,,In whale
1976,February,3,Off Joban district 36 44N 141 53 E,North Pacific,NK,0.585,NA,NA,,In whale
1976,February,4,Off Joban district 36 46N 141 58 E,North Pacific,NK,NA,NA,NA,,In whale
1976,March,,New Zealand. Wellington south coast.,South Pacific,NK,NA,NA,NA,,Stranded
1976,June,17,New Zealnd. Red Rocks,South Pacific,NK,NA,NA,NA,0.018,NK
1976,August,,Off Vancouver. Oregon???. Univted States,South Atlantic,NK,NA,NA,NA,,In whale
1976,September,,27 42S 14 13 E,South Atlantic,Female,1.95,4.5,,,Captured
1977,November,19,North Berwick. Scotland,North Atlantic,Female,1.61,4.34,6.44,,Stranded
1977,November,21,Canada. Newfoundland. Trinity Bay. Lance Cove,North Atlantic,NK,NA,NA,NA,,Stranded
1978,April,,China. Shandong Province. Jiaonon.,North Pacific,NK,NA,NA,NA,,In whale
1978,June,15,Mack Arch. Oregon North Pacific Ocean,North Pacific,NK,NA,NA,NA,,NK
1978,June,21,US. Staits of Florida. off Fort Lauderdale,North Atlantic,Male,0.167,NA,NA,,In predator
1978,July,,New Zealand. Gisborne,North Atlantic,NK,NA,NA,NA,,Captured
1978,Late,,Western Australia. Albany.,South Pacific,NK,NA,NA,NA,,NK
Before sometime  in 1979,,,Japan. Ishikawa Prefecture. Noto-cho.,North Pacific,NK,NA,5.5,,,Captured
Before 1980,,,Oregon. United States,North Pacific,NK,NA,NA,NA,,NK
1979,August,20,Cortez Bank California!!,South Atlantic,NK,0.81,NA,NA,,Captured
1979,November,19,Bonavista Bay. Cottels Island. St Brendans Newfoundland,North Atlantic,Female,1.54,NA,NA,,Stranded
before or in 1980,,,United States. Oregon.,North Pacific,NK,NA,NA,NA,,NK
1980,,,Eastern Australia. off New South Wales coast.,Indian Ocean,NK,NA,NA,NA,,In predator
1980,Early February,,US. Massachusetts. Plum Island,North Atlantic,NK,NA,NA,NA,,Stranded
1980,,,Spain. Asturias. Vertical de Cudillero,North Atlantic,NK,NA,NA,NA,,NK
1980,April ,3,West of California 34 39 - 35 39 N 126 25- 127 28 W,North Pacific,Male,NA,NA,NA,,NK
1980,April ,3,West of California 34 39 - 35 39 N 126 25- 127 28 W,North Pacific,Female,NA,NA,NA,,NK
1980,July,2,Northeast Pacific. 1500 miles off Oregon (42E35N. 148E35W).,North Pacific,NK,1.64,NA,NA,,Captured
1980,October,21,Patton Escarpment. California. United States,North Pacific,NK,NA,NA,NA,,NK
1981,,,Asturias Spain,North Atlantic,NK,NA,NA,NA,,NK
1981,February,,K?neohe Bay. Oahu. Hawaiian Islands,North Pacific,NK,NA,6.096,,,Captured
1981,May,20,Southeast Atlantic. Vavilov Ridge 7 56 S. 0 57 E,South Atlantic,NK,NA,NA,NA,,Captured
1981,August,3,Southeast Atlantic. 27 45 S 10 45 E,South Atlantic,NK,0.81,NA,NA,,Captured
1981,September,7,Azores,North Atlantic,NK,NA,NA,NA,,In whale
1981,October,11,Tasman Sea (33E19.4S. 155E00.3E).,North Pacific,NK,0.103,NA,NA,,Captured
1981,November,10,Canada. Newfoundland. bonavista Bay. Hare Bay,North Atlantic,Female,1.59,3.8,5.73,,Stranded
1981,December,,Spain. Asturias. Playa de Luarca,North Atlantic,NK,NA,NA,NA,,NK
1982,January ,30,Australia. off New South Wales (33o44S. 153o00E).,Indian Ocean,Female,0.422,NA,NA,,Captured
1982,July,,New Zealand. North Canterbury,South Pacific,NK,NA,NA,NA,,Captured
1982,August,23,Rad›y. Norway,North Atlantic,Female,1.62,NA,NA,0.0166,Captured
1982,September,,Northern North Sea 59 N 0.5 E 100 miles nE aberdeen,North Atlantic,Male,NA,NA,NA,,Captured
1982,October,30,Canada. Newfoundland. Notre Dame Bay. Fogo Island. Sandy Cove,North Atlantic,Female,1.69,NA,NA,,Stranded
1982,December,30,Sea of Japan. Niigata Prefecture. Kuzuareyama coast of Noh-machi.,North Pacific,NK,NA,3.98,,,Stranded
1983,,,Las Tiberas. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1983,August,19,New Zealand.North Island. west coast. New Plymouth (39E03S.174E04E),South Pacific,NK,2.035,NA,NA,0.0192,Captured
1984,,,Cal. Sierra d Oviedo. Asturias. Spain,North Atlantic,NK,NA,NA,NA,,NK
1984,January ,08-Sep,Cove Bay. Aberdeen,North Atlantic,Female,1.7,4.17,,,Stranded
